GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-agenda,com.duocuc.msagenda,MsAgendaApplication,5,3,0,0,2,1,1,1,1,1
ms-agenda,com.duocuc.msagenda.config,OpenApiConfig,17,0,0,0,5,0,2,0,2,0
ms-agenda,com.duocuc.msagenda.exception,GlobalExceptionHandler,133,0,2,0,25,0,11,0,10,0
ms-agenda,com.duocuc.msagenda.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
ms-agenda,com.duocuc.msagenda.exception,DuplicateResourceException,0,4,0,0,0,2,0,1,0,1
ms-agenda,com.duocuc.msagenda.exception,BusinessRuleException,0,4,0,0,0,2,0,1,0,1
ms-agenda,com.duocuc.msagenda.exception,RemoteServiceException,4,0,0,0,2,0,1,0,1,0
ms-agenda,com.duocuc.msagenda.entity,Cita,0,49,0,0,0,15,0,13,0,13
ms-agenda,com.duocuc.msagenda.client.impl,ClienteClientImpl,55,0,0,0,20,0,3,0,3,0
ms-agenda,com.duocuc.msagenda.client.impl,TecnicoClientImpl,55,0,0,0,20,0,3,0,3,0
ms-agenda,com.duocuc.msagenda.controller,CitaController,7,34,0,0,1,9,1,5,1,5
ms-agenda,com.duocuc.msagenda.dto,CitaRequest,0,15,0,0,0,1,0,1,0,1
ms-agenda,com.duocuc.msagenda.dto,CitaResponse,0,21,0,0,0,1,0,1,0,1
ms-agenda,com.duocuc.msagenda.service.impl,ClienteServiceImpl,11,0,0,0,4,0,2,0,2,0
ms-agenda,com.duocuc.msagenda.service.impl,TecnicoServiceImpl,11,0,0,0,4,0,2,0,2,0
ms-agenda,com.duocuc.msagenda.service.impl,CitaServiceImpl,115,189,9,9,21,36,8,12,3,8
