GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
client,com.duocuc.client.controller,ClientController,0,41,0,0,0,10,0,6,0,6
client,com.duocuc.client.dto,ClientResponse,0,24,0,0,0,1,0,1,0,1
client,com.duocuc.client.dto,ClientRequest,0,15,0,0,0,1,0,1,0,1
client,com.duocuc.client.entity,Client,4,55,0,0,1,18,1,14,1,14
client,com.duocuc.client.service.impl,ClientServiceImpl,25,189,3,5,1,42,4,11,2,9
client,com.duocuc.client.config,OpenApiConfig,17,0,0,0,5,0,2,0,2,0
client,com.duocuc.client.exception,BusinessRuleException,0,4,0,0,0,2,0,1,0,1
client,com.duocuc.client.exception,DuplicateResourceException,0,4,0,0,0,2,0,1,0,1
client,com.duocuc.client.exception,GlobalExceptionHandler,121,0,2,0,23,0,10,0,9,0
client,com.duocuc.client.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
client,com.duocuc.client,ClientApplication,5,3,0,0,2,1,1,1,1,1
