GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
equipment,com.duocuc.equipment,EquipmentApplication,5,3,0,0,2,1,1,1,1,1
equipment,com.duocuc.equipment.client.impl,ClientClientImpl,55,0,0,0,20,0,3,0,3,0
equipment,com.duocuc.equipment.config,OpenApiConfig,17,0,0,0,5,0,2,0,2,0
equipment,com.duocuc.equipment.entity,EquipmentType,0,35,0,0,0,11,0,9,0,9
equipment,com.duocuc.equipment.entity,Equipment,4,62,0,0,1,20,1,16,1,16
equipment,com.duocuc.equipment.dto,EquipmentResponse,0,30,0,0,0,1,0,1,0,1
equipment,com.duocuc.equipment.dto,EquipmentTypeRequest,0,9,0,0,0,1,0,1,0,1
equipment,com.duocuc.equipment.dto,EquipmentTypeResponse,0,15,0,0,0,1,0,1,0,1
equipment,com.duocuc.equipment.dto,EquipmentRequest,0,18,0,0,0,1,0,1,0,1
equipment,com.duocuc.equipment.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
equipment,com.duocuc.equipment.exception,BusinessRuleException,0,4,0,0,0,2,0,1,0,1
equipment,com.duocuc.equipment.exception,GlobalExceptionHandler,133,0,2,0,25,0,11,0,10,0
equipment,com.duocuc.equipment.exception,DuplicateResourceException,0,4,0,0,0,2,0,1,0,1
equipment,com.duocuc.equipment.exception,RemoteServiceException,4,0,0,0,2,0,1,0,1,0
equipment,com.duocuc.equipment.controller,EquipmentController,7,34,0,0,1,9,1,5,1,5
equipment,com.duocuc.equipment.controller,EquipmentTypeController,7,34,0,0,1,9,1,5,1,5
equipment,com.duocuc.equipment.service.impl,ClientServiceImpl,11,0,0,0,4,0,2,0,2,0
equipment,com.duocuc.equipment.service.impl,EquipmentServiceImpl,120,178,9,5,20,37,9,11,4,9
equipment,com.duocuc.equipment.service.impl,EquipmentTypeServiceImpl,61,131,5,3,9,29,5,10,2,9
