GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order,com.duocuc.order.dto,OrderItemResponse,0,18,0,0,0,1,0,1,0,1
order,com.duocuc.order.dto,OrderResponse,0,27,0,0,0,1,0,1,0,1
order,com.duocuc.order.dto,OrderItemRequest,0,9,0,0,0,1,0,1,0,1
order,com.duocuc.order.dto,StatusUpdateRequest,0,6,0,0,0,1,0,1,0,1
order,com.duocuc.order.dto,OrderRequest,0,15,0,0,0,1,0,1,0,1
order,com.duocuc.order.client.impl,TechnicianClientImpl,55,0,0,0,20,0,3,0,3,0
order,com.duocuc.order.client.impl,EquipmentClientImpl,55,0,0,0,20,0,3,0,3,0
order,com.duocuc.order.client.impl,ServiceCatalogClientImpl,58,0,0,0,20,0,3,0,3,0
order,com.duocuc.order.client.impl,ClientClientImpl,55,0,0,0,20,0,3,0,3,0
order,com.duocuc.order.controller,OrderController,0,34,0,0,0,8,0,5,0,5
order,com.duocuc.order,OrderApplication,5,3,0,0,2,1,1,1,1,1
order,com.duocuc.order.exception,DuplicateResourceException,4,0,0,0,2,0,1,0,1,0
order,com.duocuc.order.exception,BusinessRuleException,0,4,0,0,0,2,0,1,0,1
order,com.duocuc.order.exception,GlobalExceptionHandler,144,0,2,0,27,0,12,0,11,0
order,com.duocuc.order.exception,RemoteServiceException,4,0,0,0,2,0,1,0,1,0
order,com.duocuc.order.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
order,com.duocuc.order.service.impl,ClientServiceImpl,11,0,0,0,4,0,2,0,2,0
order,com.duocuc.order.service.impl,TechnicianServiceImpl,11,0,0,0,4,0,2,0,2,0
order,com.duocuc.order.service.impl,ServiceCatalogServiceImpl,11,0,0,0,4,0,2,0,2,0
order,com.duocuc.order.service.impl,EquipmentServiceImpl,11,0,0,0,4,0,2,0,2,0
order,com.duocuc.order.service.impl,OrderServiceImpl,39,295,6,14,7,60,6,17,2,10
order,com.duocuc.order.config,OpenApiConfig,17,0,0,0,5,0,2,0,2,0
order,com.duocuc.order.client.dto,MaintenanceServiceSummary,0,12,0,0,0,1,0,1,0,1
order,com.duocuc.order.entity,OrderStatus,0,27,0,0,0,5,0,1,0,1
order,com.duocuc.order.entity,Order,4,69,0,0,1,21,1,16,1,16
order,com.duocuc.order.entity,OrderItem,10,35,0,0,3,10,3,10,3,10
